343 482
241	231	593
231	230	665
230	240	997
230	229	422
229	239	537
229	220	731
219	220	744
220	228	1023
228	229	738
228	219	640
218	219	1054
228	218	1204
218	225	634
228	233	1493
228	227	421
237	227	498
226	227	370
226	236	1084
225	226	307
224	225	652
224	216	1549
216	223	963
222	223	1149
223	234	434
223	224	1305
224	235	708
224	236	1142
222	259	2946
259	260	1276
260	246	559
261	260	745
261	247	454
260	262	724
261	262	572
261	263	1302
263	250	792
250	249	840
249	248	290
250	242	723
242	236	770
243	236	873
236	238	841
238	243	580
243	242	369
243	250	809
250	252	592
243	252	775
252	244	762
244	238	452
238	240	1283
240	245	891
244	245	1172
240	252	2138
252	255	2043
245	255	934
255	256	286
255	257	1206
257	233	2370
257	258	327
258	276	1367
269	258	916
268	269	709
268	254	593
266	268	671
266	267	491
266	253	593
265	266	671
265	252	785
234	251	382
264	265	313
263	264	307
263	277	1817
265	270	412
270	271	388
270	272	383
272	277	881
277	278	294
277	284	1072
272	274	1282
267	273	706
273	275	381
273	274	451
274	279	1075
279	269	1495
269	276	841
276	281	493
281	282	519
280	281	609
280	282	483
280	279	317
280	285	1749
282	286	973
286	285	1796
285	284	1300
284	283	3876
283	259	2557
283	287	192
287	288	4003
288	289	755
289	290	2242
290	286	435
290	314	2379
290	298	1979
297	296	541
296	289	897
288	296	1162
288	294	1647
288	292	3460
287	291	2103
291	292	996
292	293	2362
293	294	578
294	295	850
295	296	761
295	298	1239
298	313	613
313	314	757
313	312	364
313	309	1124
309	295	677
309	310	504
309	308	774
308	311	594
306	308	290
306	307	244
306	305	492
305	293	876
305	304	479
304	302	517
302	303	411
300	302	1380
300	301	345
299	300	1233
299	291	1293
299	316	505
316	321	1601
321	322	1425
322	319	611
322	323	665
323	320	468
323	324	1092
324	304	1939
324	325	642
325	326	1118
326	311	2754
311	317	1137
317	318	1377
318	315	540
315	314	706
315	331	3184
318	328	1490
328	327	627
328	330	1639
331	330	969
330	329	1544
329	326	841
316	332	2373
332	333	1043
333	334	642
334	335	739
334	336	2803
336	287	2309
258	337	418
337	338	738
338	339	871
339	340	299
339	341	1814
341	342	294

